NAME,bracelet,sharp,t0_c3_tri_c5_pen,t1_c3_tri_c5_pen,t0_c4_tri_c5_pen,t1_c4_tri_c5_pen,t2_c4_tri_c5_pen,t0_c5_pen_c5_pen,t1_c5_pen_c5_pen,E_2,E_3,Q_3_3,Q_2_9,Q_3_9,Q_9_9,ARM_0_2,ARM_0_3,ARM_1_2,ARM_2_2,ARM_2_3,ARM_2_4,ARM_3_3,c6_qua,mysterycell
STAR_1,"(0, 0, 0, 0, 0)",1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
STAR_2,"(0, 0, 0, 0, 2)",1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
STAR_3,"(0, 0, 0, 0, 3)",1,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
STAR_4,"(0, 0, 0, 0, 5)",0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
STAR_5,"(0, 0, 0, 2, 2)",1,3,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0
STAR_6,"(0, 0, 0, 2, 3)",1,3,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
STAR_7,"(0, 0, 0, 2, 5)",0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
STAR_8,"(0, 0, 0, 3, 3)",1,3,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
STAR_9,"(0, 0, 0, 3, 5)",0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
STAR_10,"(0, 0, 0, 5, 5)",0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
STAR_11,"(0, 0, 2, 0, 2)",1,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1
STAR_12,"(0, 0, 2, 0, 3)",1,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1
STAR_13,"(0, 0, 2, 0, 5)",0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
STAR_14,"(0, 0, 2, 2, 2)",1,2,0,3,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0
STAR_15,"(0, 0, 2, 2, 3)",1,2,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
STAR_16,"(0, 0, 2, 2, 5)",0,2,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
STAR_17,"(0, 0, 2, 3, 2)",1,2,0,2,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1
STAR_18,"(0, 0, 2, 3, 3)",1,2,0,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1
STAR_19,"(0, 0, 2, 3, 5)",0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
STAR_20,"(0, 0, 2, 5, 2)",0,2,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
STAR_21,"(0, 0, 2, 5, 3)",0,2,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
STAR_22,"(0, 0, 2, 5, 5)",0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
STAR_23,"(0, 0, 3, 0, 3)",1,3,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
STAR_24,"(0, 0, 3, 0, 5)",0,3,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
STAR_25,"(0, 0, 3, 2, 3)",1,2,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
STAR_26,"(0, 0, 3, 2, 5)",0,2,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
STAR_27,"(0, 0, 3, 3, 3)",1,2,0,0,3,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1
STAR_28,"(0, 0, 3, 3, 5)",0,2,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
STAR_29,"(0, 0, 3, 5, 3)",0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
STAR_30,"(0, 0, 3, 5, 5)",0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
STAR_31,"(0, 0, 5, 0, 5)",0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
STAR_32,"(0, 0, 5, 2, 5)",0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAR_33,"(0, 0, 5, 3, 5)",0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
STAR_34,"(0, 0, 5, 5, 5)",0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
STAR_35,"(0, 1, 0, 2, 2)",1,2,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0
STAR_36,"(0, 1, 2, 2, 2)",1,1,1,3,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
STAR_37,"(0, 1, 3, 2, 2)",1,1,1,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
STAR_38,"(0, 1, 5, 2, 2)",0,1,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
STAR_39,"(0, 2, 0, 2, 2)",1,2,0,3,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0
STAR_40,"(0, 2, 0, 2, 3)",1,2,0,2,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,2,0
STAR_41,"(0, 2, 0, 2, 5)",0,2,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
STAR_42,"(0, 2, 0, 3, 3)",1,2,0,1,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
STAR_43,"(0, 2, 0, 3, 5)",0,2,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
STAR_44,"(0, 2, 0, 5, 5)",0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
STAR_45,"(0, 2, 2, 0, 3)",1,2,0,2,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0
